URL,Industry,Country,State,smog,sentence_count,long_word_count,reading_time,avg_sentence_length
https://cnet.com,COMPUTERS AND ELECTRONICS,US,NY,14.3,555,2107,797.11,12.416557161629434
https://stackoverflow.com,COMPUTERS AND ELECTRONICS,US,NY,12.2,224,562,324.24,14.438311688311689
https://pcmag.com,COMPUTERS AND ELECTRONICS,US,NY,13.5,444,1464,645.35,12.395245170876672
https://ibm.com,COMPUTERS AND ELECTRONICS,US,NY,10.4,38,62,34.29,8.137931034482758
https://loveandlemons.com,FOOD AND DRINK,US,AZ,12.7,64,181,68.44,5.897810218978102
https://sallysbakingaddiction.com,FOOD AND DRINK,US,AZ,13.5,32,105,42.4,10.326530612244898
https://thekitchn.com,FOOD AND DRINK,US,AZ,14.0,164,599,245.38,14.04954954954955
https://tastesbetterfromscratch.com,FOOD AND DRINK,US,AZ,7.2,8,4,5.23,6.454545454545454
https://swiggy.com,FOOD AND DRINK,US,AZ,14.5,128,508,212.01,13.708333333333334
https://natashaskitchen.com,FOOD AND DRINK,US,AZ,0.0,1,2,0.79,2.25
https://downshiftology.com,FOOD AND DRINK,US,AZ,13.2,97,302,134.31,12.090909090909092
https://rentcafe.com,REAL ESTATE,US,ID,13.5,102,333,151.94,14.26056338028169
https://apartments.com,REAL ESTATE,US,DC,10.6,47,81,48.86,10.555555555555555
https://homes.com,REAL ESTATE,US,DC,15.6,502,2398,929.11,16.234104046242773
https://realtor.com,REAL ESTATE,US,FL,15.7,594,2858,1082.58,16.18362282878412
https://redfin.com,REAL ESTATE,US,AZ,12.6,55,150,61.86,10.943661971830986
https://aplaceformom.com,REAL ESTATE,US,AZ,11.2,55,111,64.93,11.3125
https://valuecom.com,REAL ESTATE,US,AZ,14.8,183,764,300.01,13.285714285714286
https://housing.com,REAL ESTATE,US,CO,13.8,26,91,32.07,11.416666666666666
https://remax.com,REAL ESTATE,US,CO,9.6,39,50,27.25,7.673469387755102
https://rent.com,REAL ESTATE,US,GA,14.8,211,876,353.94,12.942424242424243
