,URL,Industry,Country,State,smog,sentence_count,long_word_count,reading_time,avg_sentence_length
62,https://webpkgcache.com,COMPUTERS AND ELECTRONICS,US,CA,14.7,331.0,1368.0,522.52,13.404166666666667
63,https://ilovepdf.com,COMPUTERS AND ELECTRONICS,US,AZ,12.8,486.0,1383.0,712.3,13.655375552282768
64,https://iloveimg.com,COMPUTERS AND ELECTRONICS,US,AZ,13.7,71.0,241.0,96.84,11.49074074074074
65,https://freepdfconvert.com,COMPUTERS AND ELECTRONICS,US,AZ,14.5,212.0,847.0,319.02,12.87220447284345
66,https://fotor.com,COMPUTERS AND ELECTRONICS,US,AZ,12.6,36.0,98.0,50.2,10.883333333333333
67,https://bluestacks.com,COMPUTERS AND ELECTRONICS,US,AZ,13.9,127.0,454.0,189.28,10.415966386554622
68,https://techtarget.com,COMPUTERS AND ELECTRONICS,US,MA,13.8,675.0,2377.0,1170.31,16.91584699453552
69,https://cnet.com,COMPUTERS AND ELECTRONICS,US,NY,14.3,555.0,2107.0,797.11,12.416557161629434
70,https://stackoverflow.com,COMPUTERS AND ELECTRONICS,US,NY,12.2,224.0,562.0,324.24,14.438311688311689
71,https://pcmag.com,COMPUTERS AND ELECTRONICS,US,NY,13.5,444.0,1464.0,645.35,12.395245170876672
72,https://ibm.com,COMPUTERS AND ELECTRONICS,US,NY,10.4,38.0,62.0,34.29,8.137931034482758
73,https://loveandlemons.com,FOOD AND DRINK,US,AZ,12.7,64.0,181.0,68.44,5.897810218978102
74,https://sallysbakingaddiction.com,FOOD AND DRINK,US,AZ,13.5,32.0,105.0,42.4,10.326530612244898
75,https://thekitchn.com,FOOD AND DRINK,US,AZ,14.0,164.0,599.0,245.38,14.04954954954955
76,https://tastesbetterfromscratch.com,FOOD AND DRINK,US,AZ,7.2,8.0,4.0,5.23,6.454545454545454
77,https://swiggy.com,FOOD AND DRINK,US,AZ,14.5,128.0,508.0,212.01,13.708333333333334
78,https://natashaskitchen.com,FOOD AND DRINK,US,AZ,0.0,1.0,2.0,0.79,2.25
79,https://downshiftology.com,FOOD AND DRINK,US,AZ,13.2,97.0,302.0,134.31,12.090909090909092
80,https://rentcafe.com,REAL ESTATE,US,ID,13.5,102.0,333.0,151.94,14.26056338028169
81,https://apartments.com,REAL ESTATE,US,DC,10.6,47.0,81.0,48.86,10.555555555555555
82,https://homes.com,REAL ESTATE,US,DC,15.6,502.0,2398.0,929.11,16.234104046242773
83,https://realtor.com,REAL ESTATE,US,FL,15.7,594.0,2858.0,1082.58,16.18362282878412
84,https://redfin.com,REAL ESTATE,US,AZ,12.6,55.0,150.0,61.86,10.943661971830986
85,https://aplaceformom.com,REAL ESTATE,US,AZ,11.2,55.0,111.0,64.93,11.3125
86,https://valuecom.com,REAL ESTATE,US,AZ,14.8,183.0,764.0,300.01,13.285714285714286
87,https://housing.com,REAL ESTATE,US,CO,13.8,26.0,91.0,32.07,11.416666666666666
88,https://remax.com,REAL ESTATE,US,CO,9.6,39.0,50.0,27.25,7.673469387755102
89,https://rent.com,REAL ESTATE,US,GA,14.8,211.0,876.0,353.94,12.942424242424243
