Industry,Country,State,URL,traffic-count,traffic-value,domain-rating,State,Country,flesch_kincaid,automated_readability,coleman_liau,flesch_reading_ease,gunning_fog,smog,word_count,sentence_count,long_word_count,reading_time,standard,dale_chall,avg_sentence_length,WORDS,CAPABILITY,LEGAL,BUSINESS_FOCUS,UTILIZATION,INNOVATION,SECURITY,EDUCATION,TECHNOLOGY,DNSMI,num-pages-analyzed
JOBS AND EDUCATION,US,AZ,https://vedantu.com,12000000.0,736000.0,73.0,AZ,US,14.0,15.9,12.89,38.25,11.96,14.9,7845,322,1371,615.72,12.0,6.91,16.62473794549266,25,5,11,2,2,1,0,17,0,False,1
JOBS AND EDUCATION,US,AZ,https://quizizz.com,12000000.0,6800000.0,79.0,AZ,US,10.5,13.4,13.29,52.7,9.66,12.1,2018,109,269,160.74,11.0,7.41,16.0078125,327,62,118,42,114,5,34,28,2,False,1
JOBS AND EDUCATION,US,AZ,https://coursera.org,11000000.0,12000000.0,91.0,AZ,US,12.0,14.2,13.63,43.32,9.23,14.6,18355,947,3804,1486.14,15.0,5.88,13.668367346938776,252,52,34,36,85,20,17,36,10,False,1
JOBS AND EDUCATION,US,AZ,https://jooble.org,9800000.0,739000.0,89.0,AZ,US,12.5,14.0,12.59,42.11,10.5,14.2,6564,318,1189,514.08,13.0,6.66,14.177730192719485,0,0,0,0,0,0,2,0,0,False,1
JOBS AND EDUCATION,US,AZ,https://sarkarialert.net,8400000.0,130000.0,44.0,AZ,US,12.1,14.0,17.47,21.56,13.67,0.0,15,2,5,1.48,14.0,12.43,3.4,26,5,14,8,3,2,1,4,7,False,1
JOBS AND EDUCATION,US,AZ,https://unacademy.com,7800000.0,454000.0,72.0,AZ,US,10.7,12.4,13.16,46.88,10.07,13.6,668,42,140,53.87,11.0,8.18,11.266666666666667,7,0,0,0,42,11,24,21,6,False,1
JOBS AND EDUCATION,US,AZ,https://leverageedu.com,7100000.0,455000.0,72.0,AZ,US,16.1,19.5,14.34,32.77,14.21,17.6,5400,181,1155,437.82,18.0,7.1,22.278688524590162,100,18,7,11,16,2,9,6,4,False,1
JOBS AND EDUCATION,US,AZ,https://mathplayground.com,6600000.0,6300000.0,74.0,AZ,US,12.7,14.0,12.36,41.6,11.34,14.0,1917,91,331,149.03,14.0,7.62,13.375,31,5,14,6,8,2,6,0,2,False,1
JOBS AND EDUCATION,US,CO,https://testbook.com,21000000.0,978000.0,72.0,CO,US,11.2,14.1,14.67,45.46,10.99,13.6,708,41,138,59.52,11.0,8.53,10.893939393939394,74,12,13,11,14,2,9,5,2,False,1
JOBS AND EDUCATION,US,CO,https://clever.com,13000000.0,29000000.0,80.0,CO,US,11.8,13.7,13.34,43.93,10.88,13.5,1619,86,282,129.96,14.0,8.15,14.26086956521739,204,29,29,34,47,13,19,25,4,False,1
JOBS AND EDUCATION,US,NJ,https://adp.com,10000000.0,22000000.0,91.0,NJ,US,13.8,16.0,13.47,38.86,11.47,14.7,4453,187,765,354.18,14.0,6.72,17.045801526717558,449,99,114,72,252,35,93,102,29,True,1
JOBS AND EDUCATION,US,"Data protected, not disclosed",https://udemy.com,7700000.0,2200000.0,91.0,"Data protected, not disclosed",US,13.6,15.4,14.45,33.95,10.12,15.4,13097,646,2990,1090.06,14.0,6.51,12.759884281581485,0,0,0,0,0,0,2,0,0,True,1
JOBS AND EDUCATION,US,UT,https://instructure.com,6000000.0,1500000.0,87.0,UT,US,12.1,15.0,18.23,21.56,13.67,0.0,15,2,6,1.53,13.0,13.48,3.0,174,39,41,32,61,19,20,29,31,True,1
JOBS AND EDUCATION,US,DE,https://blooket.com,6000000.0,6600000.0,74.0,DE,US,10.6,12.1,12.58,46.98,8.91,12.9,3830,242,706,306.21,13.0,6.98,8.845804988662131,362,67,106,34,63,11,57,31,3,False,1
JOBS AND EDUCATION,JP,NON-US,https://mynavi.jp,27000000.0,7300000.0,91.0,N/A,JP,13.2,15.3,13.35,40.18,10.98,15.2,9214,409,1828,731.36,11.0,6.54,15.933104631217839,17,10,3,4,3,4,3,2,8,True,1
JOBS AND EDUCATION,JP,NON-US,https://alc.co.jp,5700000.0,1400000.0,77.0,N/A,JP,10.6,11.7,11.37,52.49,10.69,13.0,560,30,89,41.63,11.0,7.52,14.15,39,2,4,1,1,0,1,1,2,False,1
BEAUTY AND FITNESS,US,FL,https://sephora.com,8800000.0,3100000.0,87.0,FL,US,13.5,16.6,16.99,28.84,11.77,16.0,612,36,183,56.29,17.0,9.54,8.80281690140845,222,73,64,30,17,15,34,37,10,N/A,1
BEAUTY AND FITNESS,US,NY,https://glamour.com,3300000.0,518000.0,87.0,NY,US,13.1,16.1,14.1,40.69,10.71,15.3,6347,288,1301,523.87,11.0,6.55,14.784722222222221,423,91,111,100,39,11,30,35,6,True,1
BEAUTY AND FITNESS,US,CA,https://yelp.com,108000000.0,97000000.0,95.0,CA,US,14.2,16.0,14.16,32.43,10.54,15.6,8340,382,1824,689.08,16.0,6.34,16.33984375,293,106,73,65,58,7,31,45,14,N/A,1
BEAUTY AND FITNESS,BR,NON-US,https://eudora.com.br,935000.0,89000.0,63.0,N/A,BR,14.3,16.1,12.71,37.44,11.13,15.3,13102,519,2373,1017.31,13.0,5.84,20.90793650793651,10,8,10,12,15,2,14,28,0,False,1
BEAUTY AND FITNESS,JP,NON-US,https://esthe-ranking.jp,2000000.0,474000.0,81.0,N/A,JP,11.2,12.5,12.53,45.56,11.86,13.2,635,37,115,50.24,12.0,8.94,9.157142857142857,15,3,3,0,0,0,1,0,0,False,1
LAW AND GOVERNMENT,FR,NON-US,https://impots.gouv.fr,7200000.0,4200000.0,90.0,N/A,FR,13.6,15.5,16.01,28.54,11.94,15.5,207,12,56,18.3,16.0,9.45,10.35,6,0,2,0,0,0,0,0,1,False,1
