,URL,traffic-count,traffic-value,domain-rating
33,https://intuit.com,-0.15800295850088847,-0.10849599768516105,0.9486005878172225
8,https://expertoanimal.com,-0.18053658810286072,-0.3142290497202533,-1.1386428108434228
13,https://aquariumcoop.com,-0.18225733799973862,-0.31380175913019254,-2.993970276319552
21,https://petco.com,-0.17695169248436513,-0.2897261445040133,-0.3269370446976163
80,https://rentcafe.com,-0.1777198844026142,-0.27499198622605786,0.7166846546327064
61,https://autodesk.com,-0.16696519754712744,-0.15269847251902746,0.7166846546327064
53,https://usbank.com,-0.1692697733018746,-0.1983743631806894,0.02093685507915789
72,https://ibm.com,-0.1595393423373866,-0.18364020490273394,0.9486005878172225
31,https://paypal.com,-0.08630504613097678,-0.12323015596311652,1.2964744875939966
65,https://freepdfconvert.com,-0.16312423795588216,-0.3079375641355663,-1.2546007774356809
22,https://wagwalking.com,-0.17848807632086325,-0.3079375641355663,-0.6748109444743905
20,https://aspcapetinsurance.com,-0.18253644773003577,-0.2926729761596044,-1.0226848442511647
10,https://cats.com,-0.18207041129963134,-0.3121957358778954,-1.8343906103969714
0,https://sephora.com,-0.1610757261738847,-0.2690983229148757,0.3688107548559321
88,https://remax.com,-0.1792562682391123,-0.31026556114348325,0.13689482167141595
50,https://discover.com,-0.1644045578196306,0.17145300959599286,0.3688107548559321
28,https://hangikredi.com,-0.15800295850088847,-0.3068030339481637,-2.646096376542778
71,https://pcmag.com,-0.1595393423373866,-0.17037946245257402,0.8326426212249644
4,https://disneyplus.com,-0.11447208313344209,-0.020091048017428243,0.3688107548559321
15,https://petmd.com,-0.16466062179238028,-0.28825272867621776,0.02093685507915789
41,https://americanexpress.com,-0.15032103931839794,0.17145300959599286,0.8326426212249644
26,https://businessinsider.com,-0.1477603995909011,-0.21458193728644043,0.9486005878172225
73,https://loveandlemons.com,-0.1477603995909011,-0.29414639198739995,-0.5588529778821325
9,https://wildlifetrusts.org,-0.18172216429669177,-0.3101034854024257,-0.4428950112898744
23,https://sandiegozoo.org,-0.1810487160483601,-0.3058453136600966,-0.3269370446976163
62,https://webpkgcache.com,-0.17055009316562303,-0.29414639198739995,-1.2546007774356809
39,https://forbes.com,-0.03253161185354301,0.6724143910464787,1.1805165210017385
46,https://bankofamerica.com,-0.1477603995909011,0.09778221820621551,0.48476872144819017
30,https://tradingview.com,-0.055577369401014626,-0.04955936457333918,0.8326426212249644
42,https://finance.yahoo.com,-0.05045608994602093,0.333528750653503,0.9486005878172225
6,https://dogster.com,-0.18002446015736134,-0.3117389769712788,-0.7907689110666486
77,https://swiggy.com,-0.1690137093291249,-0.31045710520109665,-0.3269370446976163
63,https://ilovepdf.com,0.16975892661870784,-0.21752876894203152,-0.3269370446976163
58,https://icloud.com,-0.13751784068091372,-0.17774654159155176,0.7166846546327064
1,https://glamour.com,-0.17515924467511734,-0.3071419195885567,0.3688107548559321
36,https://wellsfargo.com,-0.1610757261738847,0.17145300959599286,0.6007266880404483
85,https://aplaceformom.com,-0.1807926520756104,-0.2853058970206267,-0.7907689110666486
14,https://trustedhousesitters.com,-0.18232391463265352,-0.3122988749858411,-1.1386428108434228
25,https://livemint.com,-0.13495720095341687,-0.2764654020538534,0.6007266880404483
78,https://natashaskitchen.com,-0.1725986049476205,-0.3077312859196749,-0.9067268776589067
55,https://apple.com,0.9558753229602397,3.6634485214714387,1.5283904207785128
82,https://homes.com,-0.17669562851161547,-0.3063168067249912,-0.3269370446976163
74,https://sallysbakingaddiction.com,-0.15902721439188722,-0.2985666394707866,-0.3269370446976163
60,https://cloud.google.com,-0.1659409416561287,-0.07902768112925011,0.9486005878172225
24,https://animalia.bio,-0.18123820338819485,-0.31439112546131076,-1.9503485769892293
