,URL,Industry,Country,State,flesch_kincaid,automated_readability,coleman_liau,flesch_reading_ease,gunning_fog,smog,standard,dale_chall,Complexity Avg
46,https://impots.gouv.fr,LAW AND GOVERNMENT,FR,NON-US,13.6,15.5,16.01,28.54,11.94,15.5,16.0,9.45,16.72714285714286
47,https://kompas.com,LAW AND GOVERNMENT,ID,NON-US,14.8,18.6,16.31,30.7,16.63,15.7,16.0,15.38,18.391428571428573
48,https://interia.pl,LAW AND GOVERNMENT,PL,NON-US,17.3,21.1,19.67,13.38,12.73,16.7,17.0,8.9,16.84
49,https://trulia.com,REAL ESTATE,US,ID,11.1,11.7,11.77,45.86,10.48,13.3,11.0,7.6,16.458571428571428
50,https://rentcafe.com,REAL ESTATE,US,ID,6.4,7.9,8.92,74.29,7.81,10.6,6.0,6.4,17.417142857142856
51,https://apartments.com,REAL ESTATE,US,DC,7.6,9.3,10.37,65.62,8.84,10.6,8.0,7.53,17.19
52,https://homes.com,REAL ESTATE,US,DC,14.3,16.5,14.74,32.12,10.14,15.6,15.0,5.91,16.914285714285715
53,https://mamikos.com,REAL ESTATE,US,AZ,10.0,11.2,12.35,48.7,8.79,12.6,11.0,7.46,16.377142857142854
54,https://redfin.com,REAL ESTATE,US,AZ,10.7,13.6,12.94,52.09,10.94,11.2,11.0,9.14,17.495714285714286
55,https://aplaceformom.com,REAL ESTATE,US,AZ,8.7,10.1,9.68,62.88,9.1,11.4,9.0,7.31,17.265714285714285
56,https://valuecom.com,REAL ESTATE,US,AZ,12.3,14.8,13.69,42.61,10.69,14.8,11.0,6.94,17.127142857142857
57,https://housing.com,REAL ESTATE,US,CO,10.6,11.6,12.7,47.08,10.31,13.8,11.0,8.57,16.727142857142855
58,https://remax.com,REAL ESTATE,US,CO,12.1,14.0,11.73,48.54,12.11,14.2,12.0,7.6,17.81142857142857
59,https://rent.com,REAL ESTATE,US,GA,13.5,15.5,14.5,34.26,10.81,14.8,15.0,6.99,16.91
60,https://meinestadt.de,REFERENCE,DE,NON-US,12.3,14.5,13.17,42.61,10.35,14.9,15.0,6.69,17.547142857142855
61,https://hitta.se,REFERENCE,SE,NON-US,5.2,6.7,8.6,71.92,7.1,8.5,7.0,10.26,16.431428571428572
62,https://disneyplus.com,ENTERTAINMENT,US,CA,10.8,13.4,14.83,41.06,12.01,12.9,13.0,9.91,16.857142857142858
63,https://youtube.com,ENTERTAINMENT,US,CA,10.7,12.2,12.76,46.67,9.6,13.6,11.0,7.54,16.647142857142857
64,https://microsoft.com,COMPUTERS AND ELECTRONICS,US,WA,10.7,12.8,12.18,52.19,9.17,12.8,13.0,6.15,17.548571428571428
65,https://apple.com,COMPUTERS AND ELECTRONICS,US,CA,11.2,13.9,12.76,50.87,8.87,13.5,14.0,1.74,17.87142857142857
66,https://adobe.com,COMPUTERS AND ELECTRONICS,US,CA,9.8,11.5,11.77,54.63,9.26,12.0,12.0,7.4,17.28
67,https://github.com,COMPUTERS AND ELECTRONICS,US,CA,9.4,11.8,14.65,44.71,8.61,12.1,9.0,8.78,15.752857142857142
68,https://hp.com,COMPUTERS AND ELECTRONICS,US,CA,12.6,14.4,14.32,36.59,9.55,13.8,14.0,6.81,16.465714285714284
69,https://icloud.com,COMPUTERS AND ELECTRONICS,US,CA,10.8,12.3,11.37,51.99,10.2,13.5,11.0,7.12,17.30857142857143
