URL,Industry,Country,State,smog,sentence_count,long_word_count,reading_time,avg_sentence_length
https://hp.com,COMPUTERS AND ELECTRONICS,US,CA,13.8,342,1201,508.49,12.22
https://icloud.com,COMPUTERS AND ELECTRONICS,US,CA,13.5,128,421,185.4,12.053658536585365
https://oracle.com,COMPUTERS AND ELECTRONICS,US,CA,14.4,217,852,338.55,12.928143712574851
https://docs.google.com,COMPUTERS AND ELECTRONICS,US,CA,16.1,231,1199,405.24,14.925595238095237
https://cloud.google.com,COMPUTERS AND ELECTRONICS,US,CA,6.4,6,2,2.23,5.333333333333333
https://autodesk.com,COMPUTERS AND ELECTRONICS,US,CA,12.8,412,1178,597.12,13.289156626506024
https://webpkgcache.com,COMPUTERS AND ELECTRONICS,US,CA,14.7,331,1368,522.52,13.404166666666667
https://ilovepdf.com,COMPUTERS AND ELECTRONICS,US,AZ,12.8,486,1383,712.3,13.655375552282768
https://iloveimg.com,COMPUTERS AND ELECTRONICS,US,AZ,14.6,274,1106,406.34,12.662531017369727
https://freepdfconvert.com,COMPUTERS AND ELECTRONICS,US,AZ,14.5,212,847,319.02,12.87220447284345
https://fotor.com,COMPUTERS AND ELECTRONICS,US,AZ,12.6,36,98,50.2,10.883333333333333
https://bluestacks.com,COMPUTERS AND ELECTRONICS,US,AZ,13.9,127,454,189.28,10.415966386554622
https://techtarget.com,COMPUTERS AND ELECTRONICS,US,MA,13.8,675,2377,1170.31,16.91584699453552
https://cnet.com,COMPUTERS AND ELECTRONICS,US,NY,14.3,555,2107,797.11,12.416557161629434
https://stackoverflow.com,COMPUTERS AND ELECTRONICS,US,NY,12.2,223,566,323.49,14.270096463022508
https://pcmag.com,COMPUTERS AND ELECTRONICS,US,NY,13.5,444,1464,645.35,12.395245170876672
https://ibm.com,COMPUTERS AND ELECTRONICS,US,NY,10.0,47,68,39.18,7.869565217391305
https://allrecipes.com,FOOD AND DRINK,US,IA,12.7,64,181,68.44,5.897810218978102
https://foodandwine.com,FOOD AND DRINK,US,IA,8.5,24,21,16.09,6.588235294117647
https://eatingwell.com,FOOD AND DRINK,US,IA,10.5,15,25,15.17,9.130434782608695
https://loveandlemons.com,FOOD AND DRINK,US,AZ,15.9,373,1871,728.62,15.846017699115045
https://sallysbakingaddiction.com,FOOD AND DRINK,US,AZ,13.5,32,105,42.4,10.326530612244898
https://thekitchn.com,FOOD AND DRINK,US,AZ,14.0,164,599,245.38,14.04954954954955
https://thepioneerwoman.com,FOOD AND DRINK,US,AZ,7.2,8,4,5.23,6.454545454545454
https://tastesbetterfromscratch.com,FOOD AND DRINK,US,AZ,14.2,542,2025,809.42,12.58736059479554
https://spendwithpennies.com,FOOD AND DRINK,US,AZ,14.5,128,508,212.01,13.708333333333334
https://swiggy.com,FOOD AND DRINK,US,AZ,16.0,370,1869,727.45,15.898576512455517
https://natashaskitchen.com,FOOD AND DRINK,US,AZ,0.0,1,2,0.79,2.25
https://downshiftology.com,FOOD AND DRINK,US,AZ,13.2,97,302,134.31,12.090909090909092
https://dogster.com,PETS AND ANIMALS,US,AZ,13.5,102,333,151.94,14.26056338028169
https://dogtime.com,PETS AND ANIMALS,US,AZ,14.4,244,947,401.73,14.445983379501385
https://expertoanimal.com,PETS AND ANIMALS,US,AZ,14.2,172,651,288.82,14.431372549019608
https://wildlifetrusts.org,PETS AND ANIMALS,US,AZ,11.3,17,35,16.41,6.875
https://bettervet.com,PETS AND ANIMALS,US,AZ,12.5,223,600,294.59,11.786585365853659
https://cats.com,PETS AND ANIMALS,US,AZ,14.0,175,630,268.36,14.326530612244898
https://litter-robot.com,PETS AND ANIMALS,US,AZ,14.3,44,168,64.12,10.945205479452055
https://lancasterpuppies.com,PETS AND ANIMALS,US,AZ,11.2,50,101,56.23,10.82089552238806
https://aquariumcoop.com,PETS AND ANIMALS,US,AZ,13.0,95,286,139.57,13.587786259541986
https://trustedhousesitters.com,PETS AND ANIMALS,US,AZ,15.0,51,222,94.81,14.075949367088608
https://petmd.com,PETS AND ANIMALS,US,FL,13.1,206,627,299.06,12.901273885350319
https://petinsurance.com,PETS AND ANIMALS,US,FL,15.3,328,1499,562.48,13.793939393939393
https://spotpet.com,PETS AND ANIMALS,US,FL,14.5,565,2242,840.77,11.263498920086393
https://nwf.org,PETS AND ANIMALS,US,FL,14.0,159,578,233.45,12.558333333333334
https://thesprucepets.com,PETS AND ANIMALS,US,NY,15.0,130,559,245.56,18.99390243902439
https://aspca.org,PETS AND ANIMALS,US,NY,9.4,20,24,15.5,8.444444444444445
