,URL,traffic-count,traffic-value,domain-rating,Complexity Avg
0,https://mayoclinic.org,161000000.0,52000000.0,92.0,17.38285714285714
1,https://clevelandclinic.org,117000000.0,48000000.0,91.0,17.38285714285714
2,https://healthline.com,96000000.0,25000000.0,92.0,18.04285714285714
3,https://medicalnewstoday.com,64000000.0,20000000.0,91.0,17.012857142857143
4,https://healthgrades.com,5300000.0,4700000.0,87.0,17.972857142857144
5,https://webmd.com,107000000.0,46000000.0,92.0,17.67142857142857
6,https://verywellhealth.com,16000000.0,4600000.0,90.0,18.282857142857143
7,https://plannedparenthood.org,13000000.0,4700000.0,85.0,17.035714285714285
8,https://medscape.com,7800000.0,3800000.0,90.0,17.002857142857142
9,https://babycenter.com,7100000.0,1300000.0,83.0,17.492857142857144
10,https://pharmeasy.in,9500000.0,520000.0,76.0,17.541428571428572
11,https://truemeds.in,5500000.0,304000.0,45.0,18.08857142857143
12,https://memorial.com.tr,33000000.0,873000.0,74.0,18.464285714285715
13,https://tuasaude.com,29000000.0,1600000.0,78.0,17.372857142857143
14,https://pinterest.de,8400000.0,627000.0,91.0,17.355714285714285
15,https://jysk.de,3200000.0,425000.0,51.0,17.089999999999996
16,https://linkedin.com,170000000.0,91000000.0,98.0,16.141428571428573
17,https://quillbot.com,54000000.0,2800000.0,79.0,17.1
18,https://ziprecruiter.com,13000000.0,5800000.0,87.0,17.247142857142858
19,https://desmos.com,10000000.0,4600000.0,79.0,17.92142857142857
20,https://sarkariresult.com,64000000.0,1100000.0,72.0,17.34857142857143
21,https://grammarly.com,30000000.0,10000000.0,90.0,16.825714285714287
22,https://khanacademy.org,20000000.0,5600000.0,90.0,16.78142857142857
23,https://jagranjosh.com,17000000.0,722000.0,77.0,16.492857142857144
24,https://cuemath.com,13000000.0,1100000.0,73.0,16.895714285714288
25,https://vedantu.com,12000000.0,736000.0,73.0,17.12857142857143
26,https://quizizz.com,12000000.0,6800000.0,79.0,17.52142857142857
27,https://coursera.org,11000000.0,12000000.0,91.0,17.425714285714285
28,https://jooble.org,9800000.0,739000.0,89.0,16.985714285714288
29,https://sarkarialert.net,8400000.0,130000.0,44.0,13.257142857142856
30,https://unacademy.com,7800000.0,454000.0,72.0,16.830000000000002
31,https://leverageedu.com,7100000.0,455000.0,72.0,18.931428571428572
32,https://mathplayground.com,6600000.0,6300000.0,74.0,17.142857142857142
33,https://testbook.com,21000000.0,978000.0,72.0,17.288571428571426
34,https://clever.com,13000000.0,29000000.0,80.0,17.307142857142857
35,https://adp.com,10000000.0,22000000.0,91.0,17.47142857142857
36,https://udemy.com,7700000.0,2200000.0,91.0,16.702857142857145
37,https://instructure.com,6000000.0,1500000.0,87.0,13.365714285714287
38,https://blooket.com,6000000.0,6600000.0,74.0,16.724285714285713
39,https://mynavi.jp,27000000.0,7300000.0,91.0,17.03
40,https://alc.co.jp,5700000.0,1400000.0,77.0,17.264285714285712
41,https://sephora.com,8800000.0,3100000.0,87.0,17.242857142857144
42,https://glamour.com,3300000.0,518000.0,87.0,17.28571428571429
43,https://yelp.com,108000000.0,97000000.0,95.0,16.99
44,https://eudora.com.br,935000.0,89000.0,63.0,17.139999999999997
45,https://esthe-ranking.jp,2000000.0,474000.0,81.0,16.978571428571428
46,https://impots.gouv.fr,7200000.0,4200000.0,90.0,16.72714285714286
47,https://kompas.com,50000000.0,1400000.0,87.0,18.391428571428573
48,https://interia.pl,41000000.0,6600000.0,83.0,16.84
49,https://trulia.com,5200000.0,1500000.0,87.0,16.458571428571428
50,https://rentcafe.com,2300000.0,2700000.0,90.0,17.417142857142856
51,https://apartments.com,14000000.0,8100000.0,82.0,17.19
52,https://homes.com,2700000.0,574000.0,81.0,16.914285714285715
53,https://mamikos.com,7200000.0,491000.0,59.0,16.377142857142854
54,https://redfin.com,5800000.0,1700000.0,90.0,17.495714285714286
55,https://aplaceformom.com,1100000.0,2000000.0,77.0,17.265714285714285
56,https://valuecom.com,1000000.0,1200000.0,42.0,17.127142857142857
57,https://housing.com,3800000.0,243000.0,77.0,16.727142857142855
58,https://remax.com,1700000.0,306000.0,85.0,17.81142857142857
59,https://rent.com,1700000.0,661000.0,78.0,16.91
60,https://meinestadt.de,3100000.0,498000.0,80.0,17.547142857142855
61,https://hitta.se,3600000.0,563000.0,86.0,16.431428571428572
62,https://disneyplus.com,27000000.0,20000000.0,87.0,16.857142857142858
63,https://youtube.com,3300000000.0,510000000.0,99.0,16.647142857142857
64,https://microsoft.com,467000000.0,121000000.0,96.0,17.548571428571428
65,https://apple.com,445000000.0,270000000.0,97.0,17.87142857142857
66,https://adobe.com,125000000.0,64000000.0,96.0,17.28
67,https://github.com,68000000.0,25000000.0,96.0,15.752857142857142
68,https://hp.com,18000000.0,36000000.0,91.0,16.465714285714284
69,https://icloud.com,18000000.0,9300000.0,90.0,17.30857142857143
70,https://oracle.com,8400000.0,8400000.0,93.0,17.092857142857145
71,https://docs.google.com,7000000.0,3100000.0,96.0,16.717142857142854
72,https://cloud.google.com,6900000.0,16000000.0,92.0,16.41714285714286
73,https://autodesk.com,6500000.0,11000000.0,90.0,17.62142857142857
74,https://webpkgcache.com,5100000.0,1400000.0,73.0,17.201428571428572
75,https://ilovepdf.com,138000000.0,6600000.0,81.0,17.548571428571428
76,https://iloveimg.com,13000000.0,755000.0,79.0,16.16142857142857
77,https://freepdfconvert.com,8000000.0,464000.0,73.0,17.295714285714286
78,https://fotor.com,6800000.0,617000.0,81.0,17.701428571428572
79,https://bluestacks.com,5100000.0,504000.0,84.0,16.764285714285716
80,https://techtarget.com,13000000.0,11000000.0,91.0,17.487142857142857
81,https://cnet.com,24000000.0,24000000.0,92.0,16.735714285714284
82,https://stackoverflow.com,15000000.0,3000000.0,92.0,17.764285714285716
83,https://pcmag.com,9400000.0,9800000.0,91.0,16.748571428571427
84,https://ibm.com,9400000.0,8900000.0,92.0,16.96857142857143
85,https://allrecipes.com,57000000.0,6200000.0,88.0,15.65857142857143
86,https://foodandwine.com,5100000.0,1300000.0,88.0,17.134285714285713
87,https://eatingwell.com,4500000.0,928000.0,84.0,17.194285714285716
88,https://loveandlemons.com,14000000.0,1400000.0,79.0,17.01571428571429
89,https://sallysbakingaddiction.com,9600000.0,1100000.0,81.0,17.275714285714287
90,https://thekitchn.com,9100000.0,1200000.0,86.0,16.80857142857143
91,https://thepioneerwoman.com,8900000.0,544000.0,81.0,15.858571428571429
92,https://tastesbetterfromscratch.com,6400000.0,728000.0,75.0,17.15
93,https://spendwithpennies.com,5800000.0,476000.0,77.0,17.349999999999998
94,https://swiggy.com,5700000.0,293000.0,81.0,17.035714285714285
95,https://natashaskitchen.com,4300000.0,478000.0,76.0,15.998571428571427
96,https://downshiftology.com,4300000.0,366000.0,75.0,16.464285714285715
97,https://dogster.com,1400000.0,206000.0,77.0,17.425714285714285
98,https://dogtime.com,1400000.0,206000.0,79.0,17.077142857142857
99,https://expertoanimal.com,1200000.0,37000.0,74.0,17.128571428571426
100,https://wildlifetrusts.org,737000.0,317000.0,80.0,16.514285714285712
101,https://bettervet.com,635000.0,201000.0,55.0,17.107142857142854
102,https://cats.com,601000.0,175000.0,68.0,16.68857142857143
103,https://litter-robot.com,555000.0,280000.0,72.0,16.35142857142857
104,https://lancasterpuppies.com,532000.0,107000.0,51.0,16.664285714285715
105,https://aquariumcoop.com,528000.0,66000.0,58.0,16.86285714285714
106,https://trustedhousesitters.com,502000.0,168000.0,74.0,17.951428571428572
107,https://petmd.com,7400000.0,1800000.0,84.0,17.16142857142857
108,https://petinsurance.com,636000.0,1900000.0,77.0,16.658571428571427
109,https://spotpet.com,459000.0,189000.0,62.0,17.43
110,https://nwf.org,433000.0,201000.0,83.0,16.981428571428573
111,https://thesprucepets.com,3300000.0,537000.0,81.0,17.784285714285716
112,https://aspca.org,660000.0,2800000.0,88.0,17.142857142857146
113,https://adoptapet.com,613000.0,115000.0,81.0,17.262857142857143
114,https://aspcapetinsurance.com,419000.0,1500000.0,75.0,17.374285714285715
115,https://petco.com,2600000.0,1700000.0,81.0,17.152857142857144
116,https://wagwalking.com,2000000.0,464000.0,78.0,17.332857142857144
117,https://sandiegozoo.org,1000000.0,606000.0,81.0,17.25142857142857
118,https://animalia.bio,926000.0,26000.0,67.0,18.192857142857143
119,https://livemint.com,19000000.0,2600000.0,89.0,16.759999999999998
120,https://businessinsider.com,14000000.0,6800000.0,92.0,17.667142857142856
121,https://bankbazaar.com,11000000.0,1000000.0,75.0,17.33142857142857
122,https://hangikredi.com,10000000.0,541000.0,61.0,17.715714285714284
123,https://bseindia.com,5400000.0,900000.0,84.0,16.914285714285715
124,https://paisabazaar.com,5300000.0,371000.0,73.0,17.34285714285714
125,https://wise.com,64000000.0,12000000.0,85.0,17.602857142857143
126,https://tradingview.com,50000000.0,18000000.0,91.0,17.295714285714286
127,https://paypal.com,38000000.0,13000000.0,95.0,17.388571428571428
128,https://coinmarketcap.com,31000000.0,28000000.0,91.0,17.262857142857147
129,https://intuit.com,10000000.0,14000000.0,92.0,17.244285714285713
130,https://coinbase.com,10000000.0,8800000.0,91.0,16.437142857142856
131,https://schwab.com,9100000.0,5600000.0,86.0,17.032857142857143
132,https://wellsfargo.com,8800000.0,33000000.0,89.0,16.577142857142857
133,https://experian.com,5400000.0,7000000.0,90.0,15.207142857142857
134,https://creditkarma.com,5300000.0,10000000.0,84.0,16.407142857142862
135,https://forbes.com,59000000.0,67000000.0,94.0,17.562857142857144
136,https://investopedia.com,40000000.0,26000000.0,92.0,17.412857142857142
137,https://americanexpress.com,13000000.0,33000000.0,91.0,17.14428571428572
138,https://bloomberg.com,8400000.0,4900000.0,92.0,16.849999999999998
139,https://finance.yahoo.com,52000000.0,44000000.0,92.0,17.342857142857145
140,https://capitalone.com,17000000.0,24000000.0,85.0,17.66
141,https://cnbc.com,16000000.0,15000000.0,92.0,16.78857142857143
142,https://bankrate.com,14000000.0,29000000.0,90.0,17.82142857142857
143,https://bankofamerica.com,14000000.0,28000000.0,88.0,17.08142857142857
144,https://chase.com,13000000.0,30000000.0,87.0,16.89857142857143
145,https://westernunion.com,12000000.0,8199999.999999999,87.0,16.767142857142854
146,https://nasdaq.com,8400000.0,6700000.0,90.0,17.02
147,https://discover.com,7500000.0,33000000.0,87.0,17.49
148,https://fidelity.com,7500000.0,5500000.0,86.0,17.507142857142856
149,https://pnc.com,6100000.0,12000000.0,82.0,16.887142857142855
150,https://usbank.com,5600000.0,7900000.0,84.0,16.79285714285714
